"rep","lags","lambda_min","best_lambda","best_log_mdd"
41,7,0.31,10,-186.888437944362
42,7,0.31,10,-205.095324535412
43,7,0.31,10,-195.418557963957
44,7,0.31,10,-197.879220077426
45,7,0.31,10,-202.125149164619
46,7,0.31,10,-189.471035504105
47,7,0.31,10,-208.168263282633
48,7,0.31,10,-191.17518355549
49,7,0.31,10,-201.211411424566
50,7,0.31,10,-185.130672659032
51,7,0.31,10,-195.552291021879
52,7,0.31,10,-203.829216553784
53,7,0.31,10,-206.459973902812
54,7,0.31,10,-189.051227636727
55,7,0.31,10,-209.710945918988
56,7,0.31,10,-204.160213996541
57,7,0.31,10,-203.100065326811
58,7,0.31,10,-203.398497711511
59,7,0.31,10,-200.414369109485
60,7,0.31,10,-202.007805804615
61,7,0.31,10,-181.408678504352
62,7,0.31,10,-186.141204381407
63,7,0.31,10,-194.337038731144
64,7,0.31,10,-196.254356335137
65,7,0.31,10,-197.21071180029
66,7,0.31,10,-196.186179129328
67,7,0.31,10,-195.650398313858
68,7,0.31,10,-191.878396564479
69,7,0.31,10,-172.983430061232
70,7,0.31,10,-198.830650819957
71,7,0.31,5,-198.179318633925
72,7,0.31,10,-190.607506301498
73,7,0.31,10,-210.333847388249
74,7,0.31,10,-200.228193128729
75,7,0.31,5,-213.896068367146
76,7,0.31,5,-206.268374811033
77,7,0.31,10,-199.711753864991
78,7,0.31,10,-208.133174078465
79,7,0.31,10,-194.425333517973
80,7,0.31,10,-182.963553711688
81,7,0.31,10,-206.612524908797
82,7,0.31,10,-212.573004409932
83,7,0.31,5,-208.13720892181
84,7,0.31,10,-186.877923329263
85,7,0.31,5,-209.201930806007
86,7,0.31,10,-190.580097914466
87,7,0.31,10,-209.412984123388
88,7,0.31,10,-203.996817420816
89,7,0.31,10,-182.868070964898
90,7,0.31,10,-210.228774266372
91,7,0.31,10,-207.890790626219
92,7,0.31,10,-175.397504502293
93,7,0.31,10,-201.903273928218
94,7,0.31,10,-209.553571671037
95,7,0.31,10,-203.844140685442
96,7,0.31,10,-194.566757425856
97,7,0.31,10,-208.907872932171
98,7,0.31,10,-201.382569161837
99,7,0.31,10,-207.583441881381
100,7,0.31,10,-179.329571982247
1,8,0.35,5,-186.263786266029
2,8,0.35,10,-210.676926511769
3,8,0.35,10,-211.731930360672
4,8,0.35,10,-206.43586058823
5,8,0.35,10,-194.29505244986
6,8,0.35,10,-207.653675715145
7,8,0.35,10,-194.313157650934
8,8,0.35,10,-186.291326862949
9,8,0.35,10,-209.057329267725
10,8,0.35,10,-201.456961973691
11,8,0.35,10,-201.724898790028
12,8,0.35,10,-227.984573581384
13,8,0.35,10,-206.993912568221
14,8,0.35,10,-185.707610315275
15,8,0.35,10,-205.685277585389
16,8,0.35,10,-191.833011825173
17,8,0.35,10,-178.614791956796
18,8,0.35,10,-197.540338729851
19,8,0.35,10,-186.867504801545
20,8,0.35,10,-186.675658406833
21,8,0.35,10,-186.549160433927
22,8,0.35,10,-188.488771573503
23,8,0.35,10,-198.540973199419
24,8,0.35,10,-179.087414633144
25,8,0.35,10,-194.217580047973
26,8,0.35,10,-192.096212162087
27,8,0.35,10,-189.368313513233
28,8,0.35,10,-182.970351276949
29,8,0.35,10,-187.09508106414
30,8,0.35,10,-186.740754504227
31,8,0.35,10,-183.006220998839
32,8,0.35,10,-184.666121374109
33,8,0.35,10,-191.291858091573
34,8,0.35,10,-198.82361266793
35,8,0.35,10,-202.002052569439
36,8,0.35,10,-200.031988049699
37,8,0.35,10,-199.98388283034
38,8,0.35,10,-206.898967258438
39,8,0.35,10,-206.373985375493
40,8,0.35,10,-204.958132410404
41,8,0.35,10,-194.10756140835
42,8,0.35,10,-194.399430105924
43,8,0.35,10,-185.511273398118
44,8,0.35,10,-197.231914574769
45,8,0.35,10,-193.150316289876
46,8,0.35,5,-198.308139494051
47,8,0.35,10,-184.49204746431
48,8,0.35,10,-186.512118699257
49,8,0.35,10,-199.184410914277
50,8,0.35,10,-192.909511817981
51,8,0.35,10,-187.686542921805
52,8,0.35,5,-210.865584709165
53,8,0.35,10,-205.117016647923
54,8,0.35,10,-194.808099893652
55,8,0.35,10,-190.503159619352
56,8,0.35,10,-186.882681103785
57,8,0.35,10,-180.00470931095
58,8,0.35,10,-198.421262374925
59,8,0.35,10,-207.423821340867
60,8,0.35,10,-188.744334827105
61,8,0.35,5,-199.037840440456
62,8,0.35,10,-192.972913095532
63,8,0.35,10,-196.958726345062
64,8,0.35,10,-198.536970454242
65,8,0.35,10,-184.403520815769
66,8,0.35,10,-186.684848681902
67,8,0.35,10,-198.719510425904
68,8,0.35,10,-192.968451851561
